               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  98,            0.024493,           0.0062363,           0.0011098,              0.9381,             0.96732,             0.98354,             0.78148,            0.012273,           0.0029194,           0.0036916,           0.0051985,           0.0051985,           0.0051985
                  99,            0.021752,           0.0073492,           0.0023295,             0.93698,             0.98246,             0.99204,             0.73792,            0.013745,           0.0029056,           0.0031687,            0.005149,            0.005149,            0.005149
                 100,            0.021777,           0.0070926,           0.0013584,             0.93512,             0.98109,             0.98865,             0.72138,             0.01359,           0.0028961,           0.0037739,           0.0050995,           0.0050995,           0.0050995
                 101,            0.022436,            0.007835,           0.0012751,             0.93437,             0.98197,             0.98665,             0.73447,            0.014667,           0.0028633,           0.0038738,             0.00505,             0.00505,             0.00505
                 102,            0.021021,           0.0068343,           0.0032602,             0.93483,             0.98151,             0.98019,             0.73801,            0.012302,           0.0028637,           0.0036801,           0.0050005,           0.0050005,           0.0050005
                 103,            0.021503,           0.0062898,            0.001972,             0.93427,             0.96862,             0.97478,             0.72892,            0.013956,            0.002968,           0.0041301,            0.004951,            0.004951,            0.004951
                 104,            0.021747,           0.0072763,           0.0014009,             0.94556,             0.95629,             0.97459,             0.69794,            0.015702,           0.0029284,           0.0040383,           0.0049015,           0.0049015,           0.0049015
                 105,              0.0205,           0.0065952,           0.0016256,             0.95688,             0.95493,             0.97036,             0.72571,            0.013503,           0.0030021,           0.0037235,            0.004852,            0.004852,            0.004852
                 106,              0.0195,           0.0065638,            0.000901,              0.9613,             0.95562,             0.97008,             0.73205,            0.013628,           0.0029389,           0.0035292,           0.0048025,           0.0048025,           0.0048025
                 107,            0.021596,           0.0066784,           0.0022647,              0.9549,             0.96632,             0.97218,             0.73495,            0.015719,           0.0032387,           0.0033303,            0.004753,            0.004753,            0.004753
                 108,            0.021646,           0.0070568,           0.0010081,              0.9608,             0.96875,             0.98023,              0.7206,            0.014226,           0.0032991,           0.0030771,           0.0047035,           0.0047035,           0.0047035
                 109,            0.019275,           0.0069304,           0.0018442,             0.96155,             0.96875,             0.98416,             0.68643,            0.014952,           0.0034507,            0.003015,            0.004654,            0.004654,            0.004654
                 110,            0.021242,           0.0066269,          0.00085119,               0.957,             0.98285,              0.9919,             0.62982,            0.016225,           0.0035287,           0.0020504,           0.0046045,           0.0046045,           0.0046045
                 111,            0.021327,           0.0079463,           0.0014677,             0.99038,             0.96124,             0.99347,             0.72625,            0.012841,           0.0032989,           0.0016573,            0.004555,            0.004555,            0.004555
                 112,            0.019726,           0.0076556,           0.0010942,             0.98498,             0.97683,             0.99444,             0.74535,            0.013635,           0.0030738,           0.0014004,           0.0045055,           0.0045055,           0.0045055
                 113,            0.019597,           0.0066678,           0.0010046,                   1,              0.9972,               0.995,             0.79507,            0.011575,           0.0027937,           0.0010697,            0.004456,            0.004456,            0.004456
                 114,             0.01836,           0.0070188,            0.001872,             0.99524,             0.98988,               0.995,             0.79456,            0.010929,           0.0027151,          0.00086756,           0.0044065,           0.0044065,           0.0044065
                 115,            0.019727,           0.0077529,           0.0011486,             0.98614,             0.99616,               0.995,             0.76811,            0.013827,            0.002857,          0.00080943,            0.004357,            0.004357,            0.004357
                 116,            0.017594,           0.0059332,          0.00092167,             0.99176,             0.98797,               0.995,             0.81015,             0.01146,           0.0027928,          0.00086545,           0.0043075,           0.0043075,           0.0043075
                 117,            0.021128,           0.0071174,          0.00087086,             0.99088,             0.98787,               0.995,             0.76804,             0.01234,           0.0028388,          0.00079487,            0.004258,            0.004258,            0.004258
                 118,            0.018587,           0.0072976,           0.0017174,             0.99221,             0.98831,               0.995,             0.80365,            0.011707,           0.0027926,          0.00069894,           0.0042085,           0.0042085,           0.0042085
                 119,            0.019725,           0.0066486,            0.001069,             0.99426,             0.98741,               0.995,             0.78469,            0.012946,           0.0028619,          0.00074561,            0.004159,            0.004159,            0.004159
                 120,            0.019956,           0.0065023,           0.0015499,             0.99441,              0.9874,               0.995,             0.78656,            0.013682,           0.0028526,          0.00079998,           0.0041095,           0.0041095,           0.0041095
                 121,            0.019575,           0.0058196,           0.0006168,             0.99493,               0.986,               0.995,             0.79827,            0.012013,           0.0028928,          0.00099978,             0.00406,             0.00406,             0.00406
